ID,Smiles,Standard_Type,Standard_Relation,Standard_Units,Standard_Value,pIC50
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,=,nM,176200,2.753994096
CHEMBL4852897,O=C(O)c1cc(S(=O)(=O)Nc2ccccc2)c(Cl)cc1NCc1ccco1,IC50,=,nM,167530,2.775907412
CHEMBL4858866,O=C(O)c1ccc(Br)cc1NCc1ccco1,IC50,=,nM,154420,2.811296452
CHEMBL4858198,OC(c1ccc(F)cc1NCc1ccco1)C(F)(F)F,IC50,=,nM,153050,2.815166666
CHEMBL4644047,CC(C)=CC(=O)C/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)c(C(=O)O)c1O,IC50,=,nM,150800,2.821598658
CHEMBL3740688,CN1C(=O)[C@@]23CCC(=O)N2C[C@@]12C[C@@]1(C(=O)Nc4c1ccc1c4C=CC(C)(C)O1)C(C)(C)[C@@H]2C3,EC50,=,nM,149600,2.825068406
CHEMBL487804,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)cc1O,IC50,=,nM,148800,2.827397069
CHEMBL487804,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)cc1O,IC50,=,nM,148800,2.827397069
CHEMBL4877793,CCNS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,IC50,=,nM,137390,2.862044876
CHEMBL4867846,CNS(=O)(=O)c1cc(C(=O)O)c(NCC2CCCO2)cc1Cl,IC50,=,nM,136390,2.865217471
CHEMBL4848389,COc1ccc(C(O)C(F)(F)F)c(NCc2cscn2)c1,IC50,=,nM,129690,2.88709351
CHEMBL4864237,O=C(O)c1ccc(F)cc1NCc1ccco1,IC50,=,nM,129540,2.887596107
CHEMBL193971,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,IC50,=,nM,129000,2.88941029
CHEMBL5175560,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc2c1.[I-],Kd,=,nM,127600,2.894149326
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,=,nM,124600,2.904481958
CHEMBL68672,CCN(CC)C(=O)/C=C/c1ccc(O)c(O)c1,IC50,=,nM,119160,2.923869505
CHEMBL4850077,CNS(=O)(=O)c1cc(CO)c(NCc2ccco2)cc1Cl,IC50,=,nM,117490,2.929999096
CHEMBL4848555,O=C(O)c1cc(S(=O)(=O)NC2CCCCC2)c(Cl)cc1NCc1ccco1,IC50,=,nM,115520,2.93734282
CHEMBL196070,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,IC50,=,nM,114000,2.943095149
CHEMBL4846727,CN(C)S(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,IC50,=,nM,113130,2.946422213
CHEMBL3742151,CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2CC[C@]3(C)[C@H](CC=C(C)[C@@]34C[C@]3(OC(C)=C(C)C3=O)C(=O)O4)[C@@]12C,EC50,=,nM,112600,2.948461609
CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,IC50,=,nM,111000,2.954677021
CHEMBL196246,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,IC50,=,nM,111000,2.954677021
CHEMBL4847323,COc1cc(/C=C/C(=O)N2CC(F)(F)C2)ccc1OCc1ccccc1,IC50,=,nM,106820,2.971347426
CHEMBL3739748,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6OC=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,EC50,=,nM,105200,2.97798426
CHEMBL4850840,CNC(=O)c1cc(S(=O)(=O)NC)c(Cl)cc1NCc1ccco1,IC50,=,nM,102590,2.98889497
CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,IC50,=,nM,101000,2.995678626
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,IC50,=,nM,100000,3
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,IC50,=,nM,100000,3
CHEMBL4850411,CCCN(CCC)C(=O)/C=C/c1ccc(O)c(OC)c1,IC50,=,nM,98790,3.005287015
CHEMBL4846539,COc1cc(/C=C/C(=O)Nc2nnn[nH]2)ccc1OCc1ccccc1,IC50,=,nM,98460,3.006740169
CHEMBL5195545,CCCCN(CCCC)c1ccc2cc(/C=C/c3c[n+](C)cc4ccccc34)ccc2c1.[I-],Kd,=,nM,97900,3.009217308
CHEMBL3740785,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2,EC50,=,nM,97900,3.009217308
CHEMBL360740,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccc(OC)cc2)CC1,EC50,=,nM,97000,3.013228266
CHEMBL5196550,COCCOCCn1c2ccccc2c2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc21.[I-],Kd,=,nM,96600,3.015022874
CHEMBL196946,O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,IC50,=,nM,96300,3.016373713
CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,IC50,=,nM,94000,3.026872146
CHEMBL284616,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,IC50,=,nM,92900,3.031984286
CHEMBL5171920,COCCOCCn1c2ccccc2c2cc(/C=C/c3cc[n+](CCO)c4ccccc34)ccc21.[Cl-],Kd,=,nM,92000,3.036212173
CHEMBL3740688,CN1C(=O)[C@@]23CCC(=O)N2C[C@@]12C[C@@]1(C(=O)Nc4c1ccc1c4C=CC(C)(C)O1)C(C)(C)[C@@H]2C3,EC50,=,nM,89900,3.046240308
CHEMBL4126715,O=C(/C=C/c1ccc(O)c(O)c1)N[C@@H](Cc1ccc(O)cc1)C(=O)O,IC50,=,nM,87800,3.056505484
CHEMBL4207221,COc1cc(/C=C/C(=O)Oc2cc(O)c3c(c2)O[C@H](c2ccc4c(c2)O[C@H](c2ccc(O)c(OC)c2)[C@@H](CO)O4)[C@@H](O)C3=O)ccc1O,IC50,=,nM,85500,3.068033885
CHEMBL3692699,O=C(/C=C/c1ccc(F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,IC50,=,nM,84000,3.075720714
CHEMBL194274,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,IC50,=,nM,83000,3.080921908
CHEMBL4863425,CNS(=O)(=O)c1cc(C(N)=O)c(NCc2ccco2)cc1Cl,IC50,=,nM,82410,3.084020086
CHEMBL4869616,COc1cc(/C=C/C(=O)NCCC(=O)NCc2ccccc2)ccc1OCc1ccccc1,IC50,=,nM,81560,3.088522783
CHEMBL382721,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,IC50,=,nM,81000,3.091514981
CHEMBL5195545,CCCCN(CCCC)c1ccc2cc(/C=C/c3c[n+](C)cc4ccccc34)ccc2c1.[I-],Kd,=,nM,81000,3.091514981
CHEMBL4167402,O=C(/C=C/c1ccc(O)c(O)c1)OCCCCCO,EC50,=,nM,80100,3.096367484
CHEMBL4878181,COc1cc(/C=C/C(=O)N(C)OC)ccc1OCc1ccccc1,IC50,=,nM,79870,3.097616316
CHEMBL1511811,COc1cc(/C=C/C(=O)N2CCOCC2)ccc1OCc1ccccc1,IC50,=,nM,78070,3.107515821
CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,IC50,=,nM,77000,3.113509275
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,=,nM,75100,3.124360063
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,=,nM,75100,3.124360063
CHEMBL196279,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,IC50,=,nM,75000,3.124938737
CHEMBL2392127,O=C(/C=C/c1ccc(O)c(O)c1)N[C@@H](Cc1ccccc1)C(=O)O,IC50,=,nM,72900,3.137272472
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,IC50,=,nM,71900,3.14327111
CHEMBL5175560,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc2c1.[I-],Kd,=,nM,71100,3.148130399
CHEMBL194692,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,IC50,=,nM,70600,3.151195299
CHEMBL4874275,CNS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2ccco2)cc1Cl,IC50,=,nM,70480,3.151934105
CHEMBL68132,O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)c(O)c1,EC50,=,nM,69000,3.161150909
CHEMBL4860892,CC(O)c1ccc(CNS(=O)(=O)c2cc(C(=O)O)c(NCc3ccco3)cc2Cl)cc1,IC50,=,nM,68500,3.164309429
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,EC50,=,nM,68100,3.166852888
CHEMBL4645437,CC(C)=CCC/C(C)=C/CCC1(C)C=Cc2c(O)cc(C)cc2O1,IC50,=,nM,68000,3.167491087
CHEMBL17001,COC(=O)/C=C/c1ccc(O)c(O)c1,EC50,=,nM,67700,3.169411331
CHEMBL196321,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,IC50,=,nM,67000,3.173925197
CHEMBL3883958,OC[C@@H]1Cc2c([nH]c3ccccc23)CN1Cc1cn(C[C@@H]2Cc3c([nH]c4ccccc34)CN2)nn1,IC50,=,nM,66360,3.178093623
CHEMBL3739499,CC1=CC[C@@H]2[C@@]3(C)C=CC(=O)OC(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(c(C)c(C)oc1=O)O2,EC50,=,nM,65400,3.184422252
CHEMBL4849442,COc1cc(/C=C/C(=O)N2CCCC2)ccc1OCc1ccccc1,IC50,=,nM,65090,3.186485728
CHEMBL193900,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,IC50,=,nM,64000,3.193820026
CHEMBL1598356,CN1c2cccc3cccc(c23)N(C)C1(C)C,Potency,=,nM,62830,3.20183294
CHEMBL183806,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccccc2)CC1,EC50,=,nM,62700,3.202732459
CHEMBL2012313,CCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CC/C=C(\C)CCCCCCCCC,IC50,=,nM,62700,3.202732459
CHEMBL2063873,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1,IC50,=,nM,62000,3.207608311
